Date,Open,High,Low,Close_,Adj_Close__,Volume
"Mar 30, 2021",70.5,70.5,70.5,70.5,70.5,-
"Jul 19, 2020",70.5,70.5,70.5,70.5,70.5,-
"Feb 18, 2020",70.5,70.5,70.5,70.5,70.5,-
"Feb 12, 2019",74.5,74.5,74.5,74.5,74.5,-
"Nov 16, 2023",122.5,122.5,122.5,122.5,122.5,-
"Oct 31, 2023",122.5,122.5,122.5,122.5,122.5,-
"Apr 04, 2023",141,141,141,141,141,-
"Nov 18, 2022",205.25,205.25,205.25,205.25,205.25,-
"Aug 28, 2022",298.5,298.5,298.5,298.5,298.5,-
"Sep 14, 2020",66.75,66.75,66.75,66.75,66.75,-
"Dec 28, 2020",70.75,70.75,70.75,70.75,70.75,-
"Dec 24, 2020",70.75,70.75,70.75,70.75,70.75,-
"Feb 03, 2020",70.75,70.75,70.75,70.75,70.75,-
"Dec 11, 2019",74.75,74.75,74.75,74.75,74.75,-
"Nov 22, 2023",122.75,122.75,122.75,122.75,122.75,-
"May 01, 2022",189.5,189.5,189.5,189.5,189.5,-
"Nov 01, 2022",221.5,221.5,221.5,221.5,221.5,-
"Sep 03, 2020",67,67,67,67,67,-
"Aug 19, 2020",67,67,67,67,67,-
"Dec 06, 2019",75,75,75,75,75,-
"Sep 30, 2019",75,75,75,75,75,-
"Apr 23, 2019",75,75,75,75,75,-
"Oct 17, 2019",79,79,79,79,79,-
"Nov 01, 2021",83,83,83,83,83,-
"Jun 11, 2023",107,107,107,107,107,-
"Jul 20, 2023",115,115,115,115,115,-
"Feb 10, 2023",142,142,142,142,142,-
"Dec 28, 2022",182,182,182,182,182,-
"Oct 18, 2022",238,238,238,238,238,-
"Oct 06, 2022",238,238,238,238,238,-
"Mar 31, 2022",158.25,158.25,158.25,158.25,158.25,-
"Oct 20, 2022",238.25,238.25,238.25,238.25,238.25,-
"Sep 07, 2022",300.5,300.5,300.5,300.5,300.5,-
"Dec 10, 2020",67.25,67.25,67.25,67.25,67.25,-
"Dec 29, 2020",71.25,71.25,71.25,71.25,71.25,-
"Jul 28, 2020",71.25,71.25,71.25,71.25,71.25,-
"Jul 16, 2020",71.25,71.25,71.25,71.25,71.25,-
"Aug 14, 2019",71.25,71.25,71.25,71.25,71.25,-
"Jun 14, 2021",75.25,75.25,75.25,75.25,75.25,-
"Sep 11, 2019",75.25,75.25,75.25,75.25,75.25,-
"Jul 16, 2019",75.25,75.25,75.25,75.25,75.25,-
"Jun 25, 2023",111.25,111.25,111.25,111.25,111.25,-
"Apr 30, 2023",134.75,134.75,134.75,134.75,134.75,-
"Apr 27, 2023",134.75,134.75,134.75,134.75,134.75,-
"Nov 02, 2022",206.75,206.75,206.75,206.75,206.75,-
"Mar 11, 2021",67.5,67.5,67.5,67.5,67.5,-
"Mar 09, 2021",67.5,67.5,67.5,67.5,67.5,-
"Sep 29, 2020",67.5,67.5,67.5,67.5,67.5,-
"Jun 23, 2020",67.5,67.5,67.5,67.5,67.5,-
"Jun 18, 2019",71.5,71.5,71.5,71.5,71.5,-
"Jun 30, 2021",75.5,75.5,75.5,75.5,75.5,-
"Mar 07, 2019",75.5,75.5,75.5,75.5,75.5,-
